ticker,ISIN,Date,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
VZ,US92343V1044,2017-05-12 21:00:00,1221,586,0.0062,0.0106,0.0172,0.0000,0.0090,0.0147,0.0197,0.0033,0.0106,0.0254,0.0137,0.0171,0.0000,0.0102,0.0222,0.0239,0.0034,0.0068,0.0273
VZ,US92343V1044,2017-05-13 11:00:00,766,264,0.0064,0.0053,0.0494,0.0026,0.0080,0.0150,0.0097,0.0185,0.0053,0.0044,0.0000,0.0381,0.0076,0.0152,0.0127,0.0152,0.0305,0.0076,0.0076
VZ,US92343V1044,2017-05-15 02:00:00,598,139,0.0088,0.0100,0.0652,0.0017,0.0050,0.0067,0.0217,0.0100,0.0084,0.0167,0.0216,0.0647,0.0000,0.0072,0.0072,0.0360,0.0144,0.0072,0.0360
VZ,US92343V1044,2017-05-15 16:00:00,306,191,0.0064,0.0032,0.0032,0.0000,0.0000,0.0000,0.0402,0.0000,0.0193,0.0209,0.0051,0.0051,0.0000,0.0000,0.0000,0.0281,0.0000,0.0102,0.0179
VZ,US92343V1044,2017-05-15 17:00:00,137,46,0.0033,0.0000,0.0000,0.0000,0.0073,0.0000,0.0511,0.0000,0.0073,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0435,0.0000,0.0000,0.0435
VZ,US92343V1044,2017-05-15 23:00:00,33,33,0.0035,0.0303,0.0000,0.0000,0.0000,0.0303,0.0303,0.0303,0.0000,0.0303,0.0303,0.0000,0.0000,0.0000,0.0303,0.0303,0.0303,0.0000,0.0303
VZ,US92343V1044,2017-05-16 14:00:00,288,214,0.0091,0.0064,0.0176,0.0016,0.0032,0.0096,0.0320,0.0048,0.0080,0.0272,0.0000,0.0051,0.0000,0.0000,0.0026,0.0381,0.0000,0.0101,0.0279
VZ,US92343V1044,2017-05-16 23:00:00,367,166,0.0068,0.0082,0.0136,0.0000,0.0000,0.0027,0.0708,0.0272,0.0545,0.0191,0.0060,0.0120,0.0000,0.0000,0.0060,0.0723,0.0241,0.0663,0.0120
VZ,US92343V1044,2017-05-17 15:00:00,94,41,0.0027,0.0106,0.0000,0.0000,0.0106,0.0000,0.0213,0.0106,0.0106,0.0319,0.0000,0.0000,0.0000,0.0244,0.0000,0.0244,0.0244,0.0000,0.0488
VZ,US92343V1044,2017-05-17 17:00:00,109,39,0.0040,0.0000,0.0092,0.0000,0.0275,0.0092,0.0092,0.0000,0.0000,0.0092,0.0000,0.0000,0.0000,0.0256,0.0256,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-17 19:00:00,26,19,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0385,0.0000,0.0000,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-17 21:00:00,60,37,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000,0.0000,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0270
VZ,US92343V1044,2017-05-17 22:00:00,31,31,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0323,0.0000,0.0000,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0323,0.0000,0.0000,0.0323
VZ,US92343V1044,2017-05-18 12:00:00,448,224,0.0098,0.0165,0.0092,0.0000,0.0053,0.0099,0.0304,0.0020,0.0132,0.0231,0.0186,0.0075,0.0000,0.0037,0.0112,0.0260,0.0019,0.0112,0.0167
VZ,US92343V1044,2017-05-19 03:00:00,508,22,0.0192,0.0059,0.0374,0.0020,0.0138,0.0098,0.0079,0.0079,0.0020,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-19 13:00:00,378,246,0.0023,0.0370,0.0053,0.0000,0.0000,0.0132,0.0185,0.0000,0.0026,0.0106,0.0325,0.0000,0.0000,0.0000,0.0163,0.0081,0.0000,0.0000,0.0041
VZ,US92343V1044,2017-05-19 18:00:00,136,119,0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0493,0.0000,0.0141,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0480,0.0000,0.0160,0.0320
VZ,US92343V1044,2017-05-19 20:00:00,500,122,0.0147,0.0160,0.0120,0.0040,0.0040,0.0440,0.0240,0.0080,0.0080,0.0240,0.0000,0.0164,0.0164,0.0164,0.0328,0.0328,0.0164,0.0164,0.0164
VZ,US92343V1044,2017-05-22 14:00:00,1359,952,0.0027,0.0302,0.0000,0.0000,0.0015,0.0177,0.0397,0.0103,0.0272,0.0081,0.0294,0.0000,0.0000,0.0021,0.0126,0.0399,0.0063,0.0305,0.0053
VZ,US92343V1044,2017-05-22 19:00:00,69,32,0.0063,0.0290,0.0000,0.0000,0.0000,0.0145,0.0145,0.0000,0.0000,0.0145,0.0313,0.0000,0.0000,0.0000,0.0313,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-22 22:00:00,22,15,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0455,0.0000,0.0000,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-23 13:00:00,417,44,0.0016,0.0240,0.0192,0.0096,0.0072,0.0647,0.0096,0.0120,0.0048,0.0072,0.0000,0.0000,0.0000,0.0000,0.0227,0.0227,0.0227,0.0000,0.0000
VZ,US92343V1044,2017-05-24 23:00:00,635,247,0.0067,0.0079,0.0047,0.0000,0.0000,0.0016,0.0299,0.0000,0.0315,0.0094,0.0040,0.0081,0.0000,0.0000,0.0000,0.0040,0.0000,0.0081,0.0040
VZ,US92343V1044,2017-05-25 08:00:00,1230,500,0.0180,0.0203,0.0171,0.0000,0.0138,0.0171,0.0220,0.0041,0.0081,0.0244,0.0260,0.0200,0.0000,0.0160,0.0180,0.0260,0.0020,0.0060,0.0260
VZ,US92343V1044,2017-05-25 16:00:00,384,71,0.0027,0.0417,0.0156,0.0000,0.0234,0.0391,0.0313,0.0026,0.0026,0.0026,0.0704,0.0000,0.0000,0.0000,0.0282,0.0423,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-05-31 13:00:00,695,423,0.0044,0.0144,0.0115,0.0029,0.0029,0.0029,0.0475,0.0000,0.0144,0.0590,0.0142,0.0095,0.0047,0.0047,0.0047,0.0307,0.0000,0.0095,0.0213
VZ,US92343V1044,2017-05-31 14:00:00,92,33,0.0013,0.0000,0.0217,0.0000,0.0000,0.0000,0.0435,0.0000,0.0000,0.0543,0.0000,0.0303,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,0.0303
VZ,US92343V1044,2017-06-01 08:00:00,203,126,0.0032,0.0000,0.0148,0.0000,0.0099,0.0246,0.0049,0.0148,0.0000,0.0099,0.0000,0.0159,0.0000,0.0079,0.0317,0.0079,0.0079,0.0000,0.0079
VZ,US92343V1044,2017-06-01 12:00:00,84,37,0.0010,0.0119,0.0000,0.0000,0.0000,0.0119,0.0119,0.0000,0.0119,0.0000,0.0270,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-01 14:00:00,950,348,0.0024,0.0358,0.0063,0.0000,0.0021,0.0105,0.0253,0.0084,0.0126,0.0095,0.0402,0.0000,0.0000,0.0000,0.0057,0.0230,0.0000,0.0172,0.0086
VZ,US92343V1044,2017-06-01 16:00:00,290,252,0.0045,0.0069,0.0000,0.0000,0.0000,0.0000,0.0069,0.0000,0.0000,0.0138,0.0079,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0159
VZ,US92343V1044,2017-06-01 20:00:00,1360,758,0.0115,0.0118,0.0169,0.0000,0.0059,0.0162,0.0147,0.0051,0.0096,0.0199,0.0092,0.0172,0.0000,0.0079,0.0198,0.0158,0.0066,0.0053,0.0185
VZ,US92343V1044,2017-06-03 05:00:00,627,135,0.0175,0.0144,0.0223,0.0016,0.0096,0.0239,0.0159,0.0112,0.0096,0.0128,0.0222,0.0222,0.0074,0.0074,0.0296,0.0148,0.0074,0.0148,0.0000
VZ,US92343V1044,2017-06-03 11:00:00,2087,405,0.0095,0.0101,0.0192,0.0010,0.0057,0.0144,0.0139,0.0067,0.0072,0.0120,0.0148,0.0148,0.0049,0.0049,0.0198,0.0099,0.0049,0.0099,0.0000
