"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1874-08-01","4.47","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0036472458969396666","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-09-01","4.54","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-10-01","4.53","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0039192491700642765","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-11-01","4.57","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.0037795810550847347","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1874-12-01","4.54","0.33","0.46","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-01-01","4.54","0.3275","0.4517","NaN","NaN","NaN","NaN","NaN","NaN","0.0035075397839542887","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-02-01","4.53","0.325","0.4433","NaN","NaN","NaN","NaN","NaN","NaN","0.003463418008811714","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-03-01","4.59","0.3225","0.435","NaN","NaN","NaN","NaN","NaN","NaN","0.003985400942860359","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-04-01","4.65","0.32","0.4267","NaN","NaN","NaN","NaN","NaN","NaN","0.0036472458969396666","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-05-01","4.47","0.3175","0.4183","NaN","NaN","NaN","NaN","NaN","NaN","0.00300002179788641","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-06-01","4.38","0.315","0.41","NaN","NaN","NaN","NaN","NaN","NaN","0.0029926645708929526","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-07-01","4.39","0.3125","0.4017","NaN","NaN","NaN","NaN","NaN","NaN","0.0028160748824611966","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-08-01","4.41","0.31","0.3933","NaN","NaN","NaN","NaN","NaN","NaN","0.003279556321778031","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-09-01","4.37","0.3075","0.385","NaN","NaN","NaN","NaN","NaN","NaN","0.003978050961980917","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-10-01","4.3","0.305","0.3767","NaN","NaN","NaN","NaN","NaN","NaN","0.004286703655243893","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-11-01","4.37","0.3025","0.3683","NaN","NaN","NaN","NaN","NaN","NaN","0.004345483844782344","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1875-12-01","4.37","0.3","0.36","NaN","NaN","NaN","NaN","NaN","NaN","0.004507111552867667","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-01-01","4.46","0.3","0.3533","NaN","NaN","NaN","NaN","NaN","NaN","0.0043822197087730495","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-02-01","4.52","0.3","0.3467","NaN","NaN","NaN","NaN","NaN","NaN","0.0035663657893924327","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-03-01","4.51","0.3","0.34","NaN","NaN","NaN","NaN","NaN","NaN","0.003610483022630169","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-04-01","4.34","0.3","0.3333","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-05-01","4.18","0.3","0.3267","NaN","NaN","NaN","NaN","NaN","NaN","0.0033604596288942814","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-06-01","4.15","0.3","0.32","NaN","NaN","NaN","NaN","NaN","NaN","0.003139798827275945","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-07-01","4.1","0.3","0.3133","NaN","NaN","NaN","NaN","NaN","NaN","0.002448079511076522","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-08-01","3.93","0.3","0.3067","NaN","NaN","NaN","NaN","NaN","NaN","0.002293481063557394","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-09-01","3.69","0.3","0.3","NaN","NaN","NaN","NaN","NaN","NaN","0.003139798827275945","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-10-01","3.67","0.3","0.2933","NaN","NaN","NaN","NaN","NaN","NaN","0.00381633771350433","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-11-01","3.6","0.3","0.2867","NaN","NaN","NaN","NaN","NaN","NaN","0.0036472458969396666","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1876-12-01","3.58","0.3","0.28","NaN","NaN","NaN","NaN","NaN","NaN","0.00397070092707886","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-01-01","3.55","0.2908","0.2817","NaN","NaN","NaN","NaN","NaN","NaN","0.003728119463424142","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-02-01","3.34","0.2817","0.2833","NaN","NaN","NaN","NaN","NaN","NaN","0.002955877623971706","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-03-01","3.17","0.2725","0.285","NaN","NaN","NaN","NaN","NaN","NaN","0.002911731501263104","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-04-01","2.94","0.2633","0.2867","NaN","NaN","NaN","NaN","NaN","NaN","0.002867583429588091","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-05-01","2.94","0.2542","0.2883","NaN","NaN","NaN","NaN","NaN","NaN","0.002587933705218044","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-06-01","2.73","0.245","0.29","NaN","NaN","NaN","NaN","NaN","NaN","0.0026320941243429337","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-07-01","2.85","0.2358","0.2917","NaN","NaN","NaN","NaN","NaN","NaN","0.002690971649784366","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-08-01","3.05","0.2267","0.2933","NaN","NaN","NaN","NaN","NaN","NaN","0.0037942838805792027","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-09-01","3.24","0.2175","0.295","NaN","NaN","NaN","NaN","NaN","NaN","0.004338136510038626","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-10-01","3.31","0.2083","0.2967","NaN","NaN","NaN","NaN","NaN","NaN","0.004977152766639557","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-11-01","3.26","0.1992","0.2983","NaN","NaN","NaN","NaN","NaN","NaN","0.0041985268920956935","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1877-12-01","3.25","0.19","0.3","NaN","NaN","NaN","NaN","NaN","NaN","0.0037795810550847347","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-01-01","3.25","0.1892","0.3008","NaN","NaN","NaN","NaN","NaN","NaN","0.003948650498228828","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-02-01","3.18","0.1883","0.3017","NaN","NaN","NaN","NaN","NaN","NaN","0.0035516596124514892","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-03-01","3.24","0.1875","0.3025","NaN","NaN","NaN","NaN","NaN","NaN","0.003411940143906607","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-04-01","3.33","0.1867","0.3033","NaN","NaN","NaN","NaN","NaN","NaN","0.0035884246493026947","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-05-01","3.34","0.1858","0.3042","NaN","NaN","NaN","NaN","NaN","NaN","0.0029779499545174587","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
